,id,name
351,351,James Bond
352,352,James T. Kirk
353,353,Jar Jar Binks
354,354,Jason Bourne
356,356,Jean-Luc Picard
363,363,Jim Powell
364,364,JJ Powell
365,365,Johann Krauss
366,366,John Constantine
367,367,John Stewart
368,368,John Wraith
372,372,Judge Dredd
375,375,Justice
377,377,K-2SO
379,379,Karate Kid
382,382,Kevin 11
383,383,Kick-Ass
384,384,Kid Flash
385,385,Kid Flash II
388,388,Kilowog
389,389,King Kong
393,393,Kool-Aid Man
396,396,Krypto
397,397,Kyle Rayner
402,402,Leech
403,403,Legion
404,404,Leonardo
407,407,Lightning Lad
415,415,Longshot
416,416,Luke Cage
418,418,Luke Skywalker
424,424,Magog
428,428,Man-Thing
429,429,Man-Wolf
432,432,Martian Manhunter
434,434,Master Brood
435,435,Master Chief
437,437,Matt Parkman
438,438,Maverick
446,446,Metamorpho
448,448,Metron
449,449,Micah Sanders
450,450,Michelangelo
451,451,Micro Lad
452,452,Mimic
456,456,Mister Fantastic
464,464,Mogo
465,465,Mohinder Suresh
468,468,Monarch
470,470,Moon Knight
473,473,Morph
475,475,Mr Immortal
476,476,Mr Incredible
478,478,Multiple Man
481,481,Namor
482,482,Namor
485,485,Naruto Uzumaki
486,486,Nathan Petrelli
489,489,Nick Fury
490,490,Nightcrawler
491,491,Nightwing
494,494,Nite Owl II
495,495,Northstar
496,496,Nova
498,498,Odin
499,499,Offspring
501,501,Omniscient
502,502,One Punch Man
506,506,Osiris
510,510,Paul Blart
513,513,Penance II
515,515,Peter Petrelli
516,516,Phantom
520,520,Plastic Lad
521,521,Plastic Man
526,526,Power Man
528,528,Professor X
532,532,Punisher
536,536,Quantum
537,537,Question
538,538,Quicksilver
539,539,Quill
542,542,Rambo
543,543,Raphael
545,545,Ray
547,547,Red Arrow
551,551,Red Robin
553,553,Red Tornado
561,561,Rip Hunter
563,563,Robin
564,564,Robin II
565,565,Robin III
566,566,Robin V
568,568,Rocket Raccoon
570,570,Ronin
571,571,Rorschach
575,575,Sasquatch
577,577,Savage Dragon
579,579,Scarlet Spider
580,580,Scarlet Spider II
589,589,Shang-Chi
590,590,Shatterstar
600,600,Silver Surfer
602,602,Simon Baz
607,607,Skaar
610,610,Sobek
613,613,Space Ghost
614,614,Spawn
615,615,Spectre
616,616,Speedball
617,617,Speedy
622,622,Spider-Man
624,624,Spider-Man
629,629,Spock
630,630,Spyke
632,632,Star-Lord
633,633,Stardust
636,636,Static
637,637,Steel
642,642,Sunspot
643,643,Superboy
646,646,Superman
650,650,Synch
658,658,The Cape
660,660,Thing
661,661,Thor
663,663,Thunderbird
664,664,Thunderbird II
665,665,Thunderbird III
666,666,Thunderstrike
671,671,Titan
673,673,Toxin
674,674,Toxin
679,679,Triton
694,694,Vibe
696,696,Vindicator
699,699,Vision
702,702,Vulcan
705,705,War Machine
707,707,Warlock
709,709,Warpath
711,711,Watcher
715,715,Wildfire
716,716,Winter Soldier
719,719,Wolverine
721,721,Wonder Man
724,724,Wyatt Wingfoot
726,726,X-Man
728,728,Yellowjacket
730,730,Ymir
731,731,Yoda
